company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,number_of_layoff_events,is_repeat_layoff_company,log_funds_raised,funding_bracket,severity_tier,is_statistical_outlier,outlier_direction
Gopuff,Philadelphia,Food,450,0.03,2022-03-29,Series H,United States,3400,4,True,8.131824785007195,Mega (>$2B),Mild (<=10%),False,Typical
Gopuff,Philadelphia,Food,1500,0.1,2022-07-12,Series H,United States,3400,4,True,8.131824785007195,Mega (>$2B),Mild (<=10%),False,Typical
Gorillas,Berlin,Food,300,0.5,2022-05-24,Series C,Germany,1300,2,True,7.170888478512505,Large ($500M-2B),Severe (25-50%),True,Unusually High for Funding Level
Gorillas,Berlin,Food,540,,2022-07-03,Series C,Germany,1300,2,True,7.170888478512505,Large ($500M-2B),,False,Typical
GoSpotCheck,Denver,Retail,23,0.2,2020-03-26,Series B,United States,47,1,False,3.871201010907891,Small (<$50M),Moderate (10-25%),False,Typical
GoStudent,Vienna,Education,100,,2022-12-14,Series D,Austria,686,2,True,6.532334292222349,Large ($500M-2B),,False,Typical
GoStudent,Vienna,Education,200,,2022-09-08,Series D,Austria,686,2,True,6.532334292222349,Large ($500M-2B),,False,Typical
GoTo Group,Jakarta,Transportation,1300,0.12,2022-11-10,Post-IPO,Indonesia,1300,1,False,7.170888478512505,Large ($500M-2B),Moderate (10-25%),False,Typical
Grab,Singapore,Transportation,360,0.05,2020-06-16,Series I,Singapore,9900,1,False,9.200391041122517,Mega (>$2B),Mild (<=10%),False,Typical
Gramophone,Indore,Food,75,,2023-01-16,Series B,India,17,1,False,2.8903717578961645,Small (<$50M),,False,Typical
GrayMeta,Los Angeles,Data,20,0.4,2020-03-23,Unknown,United States,7,1,False,2.079441541679836,Small (<$50M),Severe (25-50%),False,Typical
Greenhouse Software,New York City,Recruiting,120,0.28,2020-04-17,Series D,United States,110,1,False,4.709530201312334,Medium ($50-500M),Severe (25-50%),False,Typical
Greenlight,Atlanta,Finance,104,0.21,2023-01-12,Series D,United States,556,1,False,6.322565239927284,Large ($500M-2B),Moderate (10-25%),False,Typical
Grin,Sacramento,Marketing,60,0.13,2022-11-30,Series B,United States,145,1,False,4.983606621708336,Medium ($50-500M),Moderate (10-25%),False,Typical
Group Nine Media,New York City,Media,50,0.07,2020-04-07,Unknown,United States,190,1,False,5.25227342804663,Medium ($50-500M),Mild (<=10%),False,Typical
Groupon,Chicago,Retail,500,,2023-01-30,Post-IPO,United States,1400,3,True,7.244941546337007,Large ($500M-2B),,False,Typical
Groupon,Chicago,Retail,500,0.15,2022-08-08,Post-IPO,United States,1400,3,True,7.244941546337007,Large ($500M-2B),Moderate (10-25%),False,Typical
Groupon,Chicago,Retail,2800,0.44,2020-04-13,Post-IPO,United States,1400,3,True,7.244941546337007,Large ($500M-2B),Severe (25-50%),True,Unusually High for Funding Level
Grove Collaborative,SF Bay Area,Retail,0,0.17,2022-03-19,Series E,United States,474,1,False,6.163314804034641,Medium ($50-500M),Moderate (10-25%),False,Typical
Grover,Berlin,Retail,40,0.1,2022-12-07,Unknown,United States,2300,1,False,7.741099090035366,Mega (>$2B),Mild (<=10%),False,Typical
